525,Glenwood Ave & Touhy Ave,42.012701,-87.66605799999999
KA1503000012,Clark St & Lake St,41.88579466666667,-87.63110066666668
637,Wood St & Chicago Ave,41.895634,-87.672069
13216,State St & 33rd St,41.8347335,-87.6258275
18003,Fairbanks St & Superior St,41.89580766666667,-87.62025316666669
KP1705001026,LaSalle Dr & Huron St,41.894877,-87.632326
13253,Lincoln Ave & Waveland Ave,41.948797,-87.675278
KA1503000044,Rush St & Hubbard St,41.890173,-87.62618499999999
KA1504000140,Winchester Ave & Elston Ave,41.92403733333333,-87.67641483333334
TA1305000032,Clinton St & Madison St,41.882242,-87.64106600000001
TA1306000012,Wells St & Huron St,41.89475366666667,-87.63440200000001
13133,Damen Ave & Cortland St,41.915983000000004,-87.677335
SL-005,Indiana Ave & Roosevelt Rd,41.867888,-87.623041
13235,Southport Ave & Waveland Ave,41.94815,-87.66394
TA1307000139,MLK Jr Dr & 29th St,41.842052,-87.617
TA1305000009,Clark St & Ida B Wells Dr,41.8759326655,-87.63058453549999
13276,Stockton Dr & Wrightwood Ave,41.9313455,-87.63869133333333
TA1307000107,Sheridan Rd & Montrose Ave,41.96167,-87.65464
13193,Larrabee St & Webster Ave,41.921822,-87.64414000000001
KA1503000072,Wacker Dr & Washington St,41.883132,-87.637321
TA1307000166,Halsted St & Willow St,41.913865,-87.64875500000001
13285,Wood St & Taylor St (Temp),41.86926521843819,-87.67373085021973
TA1306000016,Sheffield Ave & Fullerton Ave,41.92552516666667,-87.65368583333333
13303,Clark St & Chicago Ave,41.89675,-87.63089000000001
15575,Broadway & Thorndale Ave,41.98974251144,-87.6601406209
623,Michigan Ave & 8th St,41.872287666666665,-87.6239145
TA1309000050,Lincoln Ave & Addison St,41.946176,-87.67330799999999
15445,Wentworth Ave & 33rd St,41.83452988563,-87.63182298139999
13164,Racine Ave & 18th St,41.858166,-87.65649499999999
TA1307000151,Wells St & Hubbard St,41.889905999999996,-87.634266
13158,Peoria St & Jackson Blvd,41.877641596275296,-87.64961779117584
13150,Michigan Ave & 18th St,41.857813,-87.62455
TA1308000036,Indiana Ave & 31st St,41.83884433333333,-87.62183783333332
TA1308000013,Halsted St & Archer Ave,41.847203,-87.646795
TA1306000013,New St & Illinois St,41.89084704062381,-87.6186168193817
13061,Ashland Ave & Division St,41.90345,-87.66774699999999
TA1307000048,Fort Dearborn Dr & 31st St,41.838556,-87.60821800000001
TA1308000045,Wallace St & 35th St,41.830628999999995,-87.64129
13206,Loomis St & Jackson Blvd,41.877945000000004,-87.66200699999999
13156,Aberdeen St & Monroe St,41.880419,-87.655519
TA1306000015,Morgan St & Lake St,41.8854833079,-87.6523048564
13058,Dayton St & North Ave,41.9105780349,-87.6494219288
TA1309000008,Franklin St & Adams St (Temp),41.879434091400135,-87.63550400733948
